# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.add.diff.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1754717774092000000,1754717781983000000,1
workspaceModel.load.cache.from.file.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1754717774092000000,1754717781983000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1754717774092000000,1754717781983000000,0
workspaceModel.save.cache.to.file.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.entities.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1754717774092000000,1754717781983000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1754717774092000000,1754717781983000000,0
FileNameCache.fastMisses,1754717774092000000,1754717781983000000,12
FileNameCache.totalMisses,1754717774092000000,1754717781983000000,12
FileNameCache.queries,1754717774092000000,1754717781983000000,246
workspaceModel.update.unloaded.entities.ms,1754717774092000000,1754717781983000000,0
workspaceModel.to.snapshot.ms,1754717774092000000,1754717781983000000,0
workspaceModel.init.bridges.ms,1754717774092000000,1754717781983000000,0
workspaceModel.pre.handlers.ms,1754717774092000000,1754717781983000000,0
workspaceModel.replace.project.model.ms,1754717774092000000,1754717781983000000,0
workspaceModel.updates.precise.ms,1754717774092000000,1754717781983000000,0
workspaceModel.check.recursive.update.ms,1754717774092000000,1754717781983000000,0
workspaceModel.loading.total.ms,1754717774092000000,1754717781983000000,13
workspaceModel.updates.ms,1754717774092000000,1754717781983000000,0
workspaceModel.loading.from.cache.ms,1754717774092000000,1754717781983000000,10
workspaceModel.collect.changes.ms,1754717774092000000,1754717781983000000,0
workspaceModel.initializing.ms,1754717774092000000,1754717781983000000,0
workspaceModel.updates.count,1754717774092000000,1754717781983000000,0
NonBlockingReadAction.failedExecutionTimeUs,1754717774092000000,1754717781983000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1754717774092000000,1754717781983000000,207224
NonBlockingReadAction.finalizedExecutionsCount,1754717774092000000,1754717781983000000,15
NonBlockingReadAction.failedExecutionsCount,1754717774092000000,1754717781983000000,0
AWTEventQueue.dispatchTimeTotalNS,1754717774092000000,1754717781983000000,6554679394
FilePageCache.totalPageLoadsUs,1754717774092000000,1754717781983000000,67896
FilePageCache.maxRegisteredFiles,1754717774092000000,1754717781983000000,834
StorageLockContext.competingThreads.avg,1754717774092000000,1754717781983000000,0.0
FilePageCache.capacityInBytes,1754717774092000000,1754717781983000000,524288000
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1754717774092000000,1754717781983000000,52445184
FilePageCache.pageLoads,1754717774092000000,1754717781983000000,229
FilePageCache.pageFastCacheHits,1754717774092000000,1754717781983000000,15645
DirectByteBufferAllocator.disposed,1754717774092000000,1754717781983000000,183
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1754717774092000000,1754717781983000000,52445184
DirectByteBufferAllocator.misses,1754717774092000000,1754717781983000000,226
FilePageCache.pageLoadsAboveSizeThreshold,1754717774092000000,1754717781983000000,0
FilePageCache.disposedBuffers,1754717774092000000,1754717781983000000,229
DirectByteBufferAllocator.hits,1754717774092000000,1754717781983000000,3
FilePageCache.maxCacheSizeInBytes,1754717774092000000,1754717781983000000,244334592
FilePageCache.totalPageDisposalsUs,1754717774092000000,1754717781983000000,437
FilePageCache.pageHits,1754717774092000000,1754717781983000000,0
StorageLockContext.competingThreads.90P,1754717774092000000,1754717781983000000,0
FilePageCache.uncachedFileAccess,1754717774092000000,1754717781983000000,361
StorageLockContext.competingThreads.max,1754717774092000000,1754717781983000000,0
DirectByteBufferAllocator.reclaimed,1754717774092000000,1754717781983000000,46
